obsid	ucdpid	dyadid	side_a	acr	side_b	startdate	enddate	oldid	oldconfid	olddyadid	extraterritorial	rebpolwing	rebpolwinglegal	rebestimate	rebestlow	rebesthigh	rebstrength	centcontrol	strengthcent	mobcap	armsproc	fightcap	terrcont	terrname	effterrcont	conflicttype	transconstsupp	rebextpart	rebpresosts	presname	rebel.support	rtypesup	rsupname	gov.support	gtypesup	gsupname	govextpart	type.of.termination	victory.side	prevactive	prevact.ref	oldobsid
NSA.3.4-493	67	308	Myanmar	MYA	MTA	1993-01-01	1995-12-31	1670	1670	1670-3	0	no	NA	10000	2100	20000	weaker	yes	moderate	low	low	low	yes	Parts of Shan State	moderate	secessionist conflict	no	no	some	Thailand	no	NA		explicit	military	China	no	1	NA	1	NSA.3.4-490,NSA.3.4-496,NSA.3.4-499,NSA.3.4-502,NSA.3.4-505,NSA.3.4-508,NSA.3.4-511	NSA.3.3-490
NSA.3.4-496	67	742	Myanmar	MYA	NSH	1959-01-01	1959-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	much weaker	yes	low	moderate	low	low	yes	Parts of Shan State	low	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	6.1	NA	0		NSA.3.3-493
NSA.3.4-499	67	743	Myanmar	MYA	SSIA	1960-07-01	1961-12-31	1670	1670	1670-1	0	no	NA	2500	2000	3000	much weaker	yes	moderate	low	low	low	yes	Small Parts of Shan State	low	secessionist conflict	no	no	extensive	Thailand	explicit	non-military	Thailand	no	NA		no	6	NA	1	NSA.3.4-496	NSA.3.3-496
NSA.3.4-502	67	744	Myanmar	MYA	SNUF	1962-01-01	1963-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	much weaker	yes	low	moderate	low	low	yes	Parts of Shan State	low	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	6.1	NA	1	NSA.3.4-496	NSA.3.3-499
NSA.3.4-505	67	746	Myanmar	MYA	SSA	1964-04-23	1973-12-31	1670	1670	1670-1	0	no	NA	8000	8000	8000	weaker	yes	moderate	low	low	low	yes	Parts of Shan State	moderate	secessionist conflict	no	no	extensive	Thailand	explicit	non-military	Thailand	no	NA		no	5	NA	1	NSA.3.4-496,NSA.3.4-499,NSA.3.4-502	NSA.3.3-502
NSA.3.4-508	67	747	Myanmar	MYA	SURA	1969-01-01	1970-12-31	NA	NA	NA	0	no	NA	1500	1000	2000	much weaker	yes	moderate	moderate	low	low	yes	Parts of Shan State	low	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	5	NA	1	NSA.3.4-496,NSA.3.4-499,NSA.3.4-502,NSA.3.4-505	NSA.3.3-505
NSA.3.4-511	67	747	Myanmar	MYA	SURA	1976-01-01	1983-12-31	NA	NA	NA	0	no	NA	1500	1000	2000	much weaker	yes	moderate	moderate	low	low	yes	Parts of Shan State	low	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	6.1	NA	1	NSA.3.4-496,NSA.3.4-499,NSA.3.4-502,NSA.3.4-505,NSA.3.4-508	NSA.3.3-508
NSA.3.4-514	67	748	Myanmar	MYA	SSNPLO	1969-01-01	1970-01-01	1670	1670	1670-2	0	no	NA	1250	500	2000	much weaker	yes	low	low	low	low	yes	Parts of Shan State	low	secessionist conflict	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0		NSA.3.3-511
NSA.3.4-517	67	750	Myanmar	MYA	SSRA	1976-01-01	1976-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	5	NA	0		NSA.3.3-514
NSA.3.4-520	67	751	Myanmar	MYA	TRC	1984-01-01	1984-12-31	NA	NA	NA	0	no	NA	1750	1500	2000	much weaker	yes	moderate	moderate	low	low	yes	Parts of Shan State	low	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	5	NA	0		NSA.3.3-517
NSA.3.4-523	67	826	Myanmar (Burma)	MYA	SSPP	2011-03-13	2011-12-31	NA	NA	NA	0	explicit link	yes	3000	3000	3000	much weaker	yes	moderate	low	low	low	yes	Parts of Shan state	moderate	ethnic conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	NA	NA	0		NA
NSA.3.4-526	68	587	Democratic Republic of Congo (Zaire)	DRC	Katanga	1960-07-01	1962-12-30	1680	1680	1680-1	0	explicit link	no	13500	12000	15000	parity	yes	moderate	low	moderate	moderate	yes	Katanga, except for Balubakat	moderate	secessionist conflict	no	major	no		explicit	troops	Belgium	explicit	troops	UN	no	4	1	0		NSA.3.3-520
NSA.3.4-529	69	588	Democratic Republic of Congo (Zaire)	DRC	Independent Mining State of South Kasai	1960-08-01	1962-12-31	1690	1690	1690-1	0	explicit link	no	NA	NA	NA	weaker	yes	high	low	low	low	yes	Independent Mining State of South Kasai	moderate	secessionist conflict	no	no	no		NA	NA		explicit	troops	UN 	no	4	1	0		NSA.3.3-523
NSA.3.4-532	70	46	Ethiopia	ETH	TPLF	1976-01-01	1988-12-31	1700	1700.2	1700.2-1	0	explicit link	no	20000	10000	50000	weaker	yes	high	moderate	low	low	yes	Parts of Tigraya	moderate	civil war	no	no	some	Sudan	no	NA		explicit	military	USSR; Cuba; Israel	no	6.1	NA	0		NSA.3.3-526
NSA.3.4-535	70	47	Ethiopia	ETH	EPDM	1983-01-01	1985-12-31	1700	1700.2	1700.2-4	0	explicit link	no	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	no		no	NA		explicit	military	USSR; Cuba; Israel	no	6.1	NA	0		NSA.3.3-529
NSA.3.4-538	70	48	Ethiopia	ETH	EPRDF	1989-01-08	1991-12-31	NA	NA	NA	0	no	NA	70000	70000	70000	weaker	yes	moderate	moderate	moderate	moderate	yes	much of Ethoipia	moderate	civil war	no	no	no	NA	explicit	military	Sudan	explicit	military	Soviet Union, East Germany, North Korea	no	4	2	1	NSA.3.4-532,NSA.3.4-535	NSA.3.3-532
NSA.3.4-541	70	49	Ethiopia	ETH	Military faction (forces of Amsha Desta and Merid Negusie)	1989-05-16	1989-12-31	1700	1700.2	1700.2-5	0	no	NA	NA	NA	NA	weaker	yes	moderate	low	moderate	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-535
NSA.3.4-544	70	50	Ethiopia	ETH	EPRP	1976-12-02	1977-12-31	1700	1700.2	1700.2-3	0	explicit link	no	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	extensive	Sudan	explicit	military	Sudan	explicit	military	USSR; Cuba; Israel	no	5	NA	0		NSA.3.3-538
NSA.3.4-547	70	50	Ethiopia	ETH	EPRP	1984-01-01	1987-12-31	1700	1700.2	1700.2-3	0	explicit link	no	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	extensive	Sudan	explicit	military	Sudan	explicit	military	USSR; Cuba; Israel	no	5	NA	1	NSA.3.4-544	NSA.3.3-541
NSA.3.4-550	70	754	Ethiopia	ETH	EDU	1977-01-01	1978-12-31	NA	NA	NA	0	no	NA	10000	10000	10000	weaker	yes	moderate	low	moderate	moderate	yes	parts of Tigray	moderate	civil war	no	no	some	Sudan	explicit	non-military	United States, Saudi Arabia	explicit	military	Soviet Union, East Germany, Cuba, Israel	no	5	NA	0		NSA.3.3-544
NSA.3.4-553	70	755	Ethiopia	ETH	Military faction (forces of Mengistu Neway)	1960-12-17	1960-12-17	1700	1700.1	1700.1-1	0	no	NA	NA	NA	NA	weaker	yes	moderate	low	low	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-547
NSA.3.4-556	72	349	Nepal	NEP	CPN-M/UPF	1996-07-13	2006-12-31	1720	1720.2	1720.2-1	0	explicit link	no	5000	1000	15000	weaker	yes	moderate	moderate	low	moderate	yes	Parts of Nepal	high	civil war	no	minor	some	India	no	NA		explicit	military	India; US; UK; China	no	1	NA	0		NSA.3.3-550
NSA.3.4-559	72	652	Nepal	NEP	Nepali Congress	1960-02-01	1962-08-15	1720	1720.1	1720.1-1	0	explicit link	no	NA	NA	NA	weaker	yes	high	moderate	low	low	no	NA	NA	civil war	no	no	extensive	India	no	NA		no	NA		no	4	1	0		NSA.3.3-553
NSA.3.4-562	73	584	France	FRN	OAS	1961-04-22	1962-06-30	1730	1730	1730-1	1	no	NA	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	terrorist	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-556
NSA.3.4-565	74	279	Iraq	IRQ	KDP/DPK	1961-09-10	1975-12-31	1740	1740.1	1740.1-1	0	explicit link	NA	30000	15000	45000	much weaker	yes	moderate	moderate	low	low	yes	Parts of Northern Iraq	low	autonomy conflict	explicit	major	extensive	Iran; Turkey	explicit	military	Iran; Israel	no	NA		no	5	NA	0		NSA.3.3-559
NSA.3.4-568	74	279	Iraq	IRQ	KDP/DPK	1979-01-01	1990-12-31	1740	1740.1	1740.1-1	0	explicit link	NA	30000	15000	45000	much weaker	yes	moderate	moderate	low	low	yes	Parts of Northern Iraq	low	autonomy conflict	explicit	major	extensive	Iran; Turkey	explicit	military	Iran; Israel	no	NA		no	NA	NA	1	NSA.3.4-565,NSA.3.4-580	NSA.3.3-562
NSA.3.4-571	74	279	Iraq	IRQ	KDP/DPK	1991-01-01	1991-12-31	1740	1740.2	1740.2-1	0	explicit link	yes	40000	25000	55000	weaker	yes	moderate	moderate	low	low	yes	Parts of Northern Iraq	moderate	autonomy conflict	explicit	major	extensive	Iran; Turkey	explicit	military	Iran; Israel	no	NA		no	5	NA	1	NSA.3.4-565,NSA.3.4-568,NSA.3.4-580	NSA.3.3-565
NSA.3.4-574	74	285	Iraq	IRQ	PUK	1976-01-01	1990-12-31	1740	1740.2	1740.2-2	0	explicit link	NA	4000	4000	4000	much weaker	yes	moderate	low	low	low	yes	Parts of Northern Iraq	low	autonomy conflict	explicit	major	extensive	Iran; Turkey	explicit	military	Syria; Iran; US	no	NA		no	NA	NA	1	NSA.3.4-565	NSA.3.3-568
NSA.3.4-577	74	285	Iraq	IRQ	PUK	1991-01-01	1996-12-31	1740	1740.2	1740.2-2	0	explicit link	yes	10000	4000	12000	much weaker	yes	moderate	low	low	low	yes	Parts of Northern Iraq	moderate	autonomy conflict	explicit	major	extensive	Iran; Turkey	explicit	military	Syria; Iran; US	no	NA		no	5	NA	1	NSA.3.4-565,NSA.3.4-574	NSA.3.3-571
NSA.3.4-580	74	653	Iraq	IRQ	KDP - QM	1977-01-01	1978-12-31	NA	NA	NA	0	explicit link	yes	NA	NA	NA	much weaker	yes	moderate	low	low	low	yes	parts of Northern Iraq	moderate	autonomy conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	5	NA	1	NSA.3.4-565	NSA.3.3-574
NSA.3.4-583	76	655	United Kingdom	UKG	North Kalimantan Liberation Army	1962-12-08	1962-12-20	1760	1760	1760-1	1	explicit link	no	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	anti-colonial	no	no	no		explicit	non-military	Indonesia	no	NA		no	4	1	0		NSA.3.3-577
NSA.3.4-586	78	53	Ethiopia	ETH	EPLF	1973-09-01	1974-12-31	1780	1780	1780-3	0	no	NA	30000	25000	60000	weaker	yes	high	high	low	moderate	yes	Much of Eritrea	high	secessionist conflict	no	no	no		explicit	military	Syria; Iraq; USSR	explicit	military	USA; Israel	no	NA	NA	1	NSA.3.4-592	NSA.3.3-580
NSA.3.4-589	78	53	Ethiopia	ETH	EPLF	1975-01-01	1991-05-28	1780	1780	1780-3	0	no	NA	30000	25000	60000	weaker	yes	high	high	low	moderate	yes	Much of Eritrea	high	secessionist conflict	no	no	extensive	Sudan	explicit	military	Libya; Iraq; Syria; Sudan	explicit	military	USSR; Cuba; Israel	no	4	2	1	NSA.3.4-586,NSA.3.4-592	NSA.3.3-583
NSA.3.4-592	78	667	Ethiopia	ETH	ELF	1964-03-15	1974-12-31	1780	1780	1780-1	0	no	NA	12500	10000	15000	weaker	yes	low	moderate	low	low	yes	Much of Eritrea	moderate	secessionist conflict	no	no	no		explicit	military	Syria; Iraq; USSR	explicit	military	USA; Israel	no	NA	NA	0		NSA.3.3-586
NSA.3.4-595	78	667	Ethiopia	ETH	ELF	1975-01-01	1980-12-31	1780	1780	1780-1	0	no	NA	12500	10000	15000	weaker	yes	low	moderate	low	low	yes	Much of Eritrea	moderate	secessionist conflict	no	no	some	Sudan	no	NA		explicit	military	USSR; Cuba	no	4	1	1	NSA.3.4-592	NSA.3.3-589
NSA.3.4-598	80	475	Venezuela	VEN	Military faction (forces of Hugo Chávez)	1992-02-04	1992-11-29	1800	1800.2	1800.2-1	0	no	NA	1100	1100	1100	weaker	yes	high	low	moderate	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-592
NSA.3.4-601	80	672	Venezuela	VEN	Military Faction	1962-06-02	1962-06-03	1800	1800.1	1800.1-1	0	no	NA	400	400	400	much weaker	yes	high	low	moderate	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-595
NSA.3.4-604	80	778	Venezuela	VEN	Bandera Roja	1982-1-1	1982-10-4	NA	NA	NA	0	explicit link	no	41	41	41	much weaker	NA	NA	NA	NA	NA	no	NA	NA	communist rebellion	no	no	no	NA	no	NA	NA	no	NA	NA	no	4	1	0		NSA.3.3-598
NSA.3.4-607	82	675	Portugal	POR	PAIGC	1963-02-01	1973-12-31	1820	1820	1820-1	1	explicit link	no	10000	10000	10000	weaker	yes	moderate	high	low	low	no	NA	NA	anti-colonial	explicit	no	extensive	Guinea; Senegal	explicit	military	Guinea; Senegal	no	NA		no	7	NA	0		NSA.3.3-601
NSA.3.4-610	83	586	Malaysia	MAL	CCO	1963-01-01	1966-08-11	1830	1830	1830-1	0	acknowledged link	no	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	extensive	Indonesia	explicit	troops	Indonesia	explicit	troops	United Kingdom; Australia	no	4	1	0		NSA.3.3-604
NSA.3.4-613	85	676	Sudan	SUD	Anya Nya	1963-01-01	1972-01-31	1850	1850.1	1850.1-1	0	no	NA	12000	12000	12000	weaker	no	NA	high	low	moderate	yes	Much of Southern Sudan	moderate	secessionist conflict	no	no	extensive	Uganda; Ethiopia	explicit	military	Israel; Uganda	no	NA		no	1	NA	0		NSA.3.3-607
NSA.3.4-616	86	39	Democratic Republic of Congo (Zaire)	DRC	AFDL	1996-10-18	1997-05-17	1860	1860.3	1860.3-1	0	no	NA	20000	20000	40000	parity	yes	moderate	moderate	moderate	moderate	yes	Much of Eastern Zaire	moderate	civil war	no	no	extensive	Rwanda	explicit	troops	Rwanda; Uganda; Angola; Zambia	no	NA		no	4	2	0		NSA.3.3-610
NSA.3.4-619	86	40	Congo/Zaire, Zimbabwe, Angola, Namibia, Chad	DRC	RCD	1998-08-11	2001-12-31	1860	1860.4	1860.4-1	0	no	NA	40000	15000	60000	parity	yes	low	low	moderate	moderate	yes	Parts of the Kivu region of Eastern Zaire	low	civil war	tacit	major	extensive	Rwanda; Uganda; Angola	explicit	troops	Rwanda  	explicit	troops	Sudan; Libya; Angola; Chad; Zimbabwe; Namibia	no	1	NA	0		NSA.3.3-613
NSA.3.4-622	86	41	Congo/Zaire, Zimbabwe, Angola, Namibia, Chad	DRC	MLC	1998-11-07	2001-12-31	1860	1860.4	1860.4-4	0	no	NA	12000	10000	15000	weaker	yes	high	moderate	moderate	moderate	yes	Equateur Province	high	civil war	no	no	extensive	Uganda	explicit	troops	Uganda	explicit	troops	Sudan; Libya; Angola; Chad; Zimbabwe; Namibia	no	1	NA	0		NSA.3.3-616
NSA.3.4-625	86	646	Democratic Republic of Congo (Zaire)	DRC	CNDP	2006-01-01	2008-12-31	NA	NA	NA	0	explicit link	yes	5500	2300	8000	weaker	yes	high	low	low	low	yes	villages in North Kivu	moderate	civil war	no	no	no	some	alleged	military	Rwanda	no	NA	NA	no	1	NA	1	NSA.3.4-619	NSA.3.3-622
NSA.3.4-628	86	679	Democratic Republic of Congo (Zaire)	DRC	CNL	1964-05-01	1965-12-31	1860	1860.1	1860.1-1	0	explicit link	yes	NA	NA	NA	weaker	yes	moderate	moderate	low	moderate	yes	Much of Eastern Zaire	moderate	civil war	no	no	extensive	Burundi	explicit	military	Burundi	explicit	military	Belgium; USA	major	4	1	0		NSA.3.3-625
NSA.3.4-631	86	680	Democratic Republic of Congo (Zaire)	DRC	Opposition militias	1967-07-11	1967-11-30	1860	1860.1	1860.1-2	0	alleged link	no	NA	NA	NA	weaker	NA	NA	low	low	low	no	NA	NA	civil war	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	4	1	0		NSA.3.3-628
NSA.3.4-634	86	681	Democratic Republic of Congo (Zaire)	DRC	FLNC	1977-08-17	1978-06-15	1860	1860.2	1860.2-1	0	no	NA	4000	4000	4000	weaker	yes	moderate	low	moderate	moderate	yes	Parts of Shaba Province	moderate	civil war	no	no	extensive	Zambia; Angola	explicit	military	Zambia; Angola 	explicit	troops	Morocco; Belgium; France; US (military only)	no	4	1	0		NSA.3.3-631
NSA.3.4-637	87	583	Gabon, France	GAB	Military faction (forces loyal to Léon M'Ba)	1964-02-18	1964-02-18	1870	1870	1870-1	0	alleged link	yes	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	coup d'etat	no	no	no		no	NA		explicit	troops	France	no	4	1	0		NSA.3.3-634
NSA.3.4-640	88	685	Portugal	POR	Frelimo	1964-11-19	1974-10-31	1880	1880	1880-1	1	no	NA	15000	15000	15000	weaker	yes	low	moderate	low	low	yes	Parts of Northern Mozambique	low	anti-colonial	explicit	no	extensive	Tanzania; Zambia; Malawi	explicit	military	Tanzania; Yugoslavia; USSR; China	explicit	military	Rhodesia; S. Africa	no	7	NA	0		NSA.3.3-637
NSA.3.4-643	89	686	United Kingdom	UKG	NLF	1964-11-25	1967-11-30	1890	1890	1890-1	1	no	NA	NA	NA	NA	weaker	yes	moderate	high	low	low	yes	Parts of Rural South Yemen	moderate	anti-colonial	no	no	no		no	NA		no	NA		no	7	NA	0		NSA.3.3-640
NSA.3.4-646	89	686	United Kingdom	UKG	FLOSY	1964-11-25	1967-11-30	1890	1890	1890-2	1	no	NA	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	anti-colonial	no	no	no		explicit	military	Egypt	no	NA		no	7	NA	0		NSA.3.3-643
NSA.3.4-649	90	11	Burundi	BUI	Palipehutu	1991-11-26	1992-12-31	1900	1900.2	1900.2-2	0	explicit link	no	NA	NA	NA	weaker	yes	moderate	moderate	low	low	no	NA	NA	ethnic conflict	tacit	no	extensive	Tanzania; Rwanda	no	NA		explicit	military	Rwanda; France; USA	minor	1	NA	0		NSA.3.3-646
NSA.3.4-652	90	12	Burundi	BUI	CNDD	1994-11-26	1998-05-08	1900	1900.2	1900.2-3	0	explicit link	no	NA	NA	NA	weaker	yes	low	moderate	low	low	no	NA	NA	ethnic conflict	tacit	minor	extensive	DR Congo; Tanzania	explicit	military	Zaire; Tanzania	explicit	military	Rwanda; France; USA	minor	6.1	NA	0		NSA.3.3-649
NSA.3.4-655	90	13	Burundi	BUI	Frolina	1997-01-01	1997-12-31	1900	1900.2	1900.2-4	0	explicit link	no	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	ethnic conflict	tacit	no	no		no	NA		explicit	military	Rwanda 	minor	1	NA	0		NSA.3.3-652
NSA.3.4-658	90	14	Burundi	BUI	CNDD-FDD	1998-06-07	2003-12-31	1900	1900.2	1900.2-3	0	no	NA	11000	3000	16000	weaker	yes	low	moderate	low	low	no	NA	NA	ethnic conflict	tacit	no	extensive	DR Congo; Tanzania	explicit	military	DRC	explicit	military	Rwanda	minor	1	NA	1	NSA.3.4-652	NSA.3.3-655
NSA.3.4-661	90	15	Burundi	BUI	Palipehutu-FNL	1997-01-01	2008-12-31	1900	1900.2	1900.2-5	0	no	NA	2500	2000	3000	weaker	yes	moderate	moderate	low	low	no	NA	NA	ethnic conflict	tacit	no	extensive	Tanzania; Rwanda	no	NA		explicit	military	Rwanda; France; USA	minor	1	NA	1	NSA.3.4-649	NSA.3.3-658
NSA.3.4-664	90	485	Burundi	BUI	Military faction (forces loyal to Gervais Nyangoma)	1965-10-18	1965-10-18	1900	1900.1	1900.1-1	0	explicit link	yes	80	40	120	weaker	yes	moderate	moderate	low	low	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-661
NSA.3.4-667	91	18	Chad	CHA	Revolutionary Forces of 1 April	1989-10-20	1989-12-31	1910	1910	1910-7	0	no	NA	NA	NA	NA	weaker	yes	moderate	low	moderate	moderate	no	NA	NA	civil war	no	no	extensive	Sudan	explicit	military	Sudan; Libya	no	NA		no	5	NA	0		NSA.3.3-664
NSA.3.4-670	91	19	Chad	CHA	MOSANAT	1989-03-03	1989-12-31	1910	1910	1910-6	0	no	NA	NA	NA	NA	weaker	yes	NA	low	low	low	no	NA	NA	civil war	no	no	some	Sudan	no	NA		no	NA		no	5	NA	0		NSA.3.3-667
NSA.3.4-673	91	20	Chad	CHA	Islamic Legion	1989-01-01	1990-12-31	1910	1910	1910-5	0	no	NA	3000	2000	5000	weaker	yes	moderate	moderate	low	low	no	NA	NA	civil war	no	no	extensive	Libya; Sudan	explicit	military	Sudan; Libya	explicit	military	Zaire; Iraq; USA	no	5	NA	0		NSA.3.3-670
NSA.3.4-676	91	21	Chad	CHA	CSNPD	1992-08-31	1994-08-11	1910	1910	1910-11	0	no	NA	5000	5000	5000	weaker	yes	moderate	low	moderate	moderate	no	NA	NA	civil war	no	no	some	Cent African Republic	no	NA		explicit	military	France	no	1	NA	0		NSA.3.3-673
NSA.3.4-679	91	22	Chad	CHA	CNR	1992-12-31	1994-12-31	1910	1910	1910-12	0	no	NA	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	some	Algeria	no	NA		explicit	military	France	no	5	NA	0		NSA.3.3-676
NSA.3.4-682	91	23	Chad	CHA	MPS	1990-03-31	1990-12-02	1910	1910	1910-9	0	no	NA	3750	2500	5000	weaker	yes	moderate	low	moderate	high	no	NA	NA	civil war	no	no	extensive	Sudan	explicit	military	Sudan; Libya	explicit	military	USA; Zaire	no	4	2	0		NSA.3.3-679
NSA.3.4-685	91	24	Chad	CHA	FNT	1992-12-31	1994-10-16	1910	1910	1910-2.2	0	explicit link	no	NA	NA	NA	weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	some	Sudan	no	NA		explicit	military	France	no	1	NA	0		NSA.3.3-682
NSA.3.4-688	91	25	Chad	CHA	MDD [-FANT]	1991-12-31	1993-12-31	1910	1910	1910-10	0	no	NA	750	500	1000	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	extensive	Nigeria; Niger; Libya	alleged	military	Libya	explicit	military	France	no	5	NA	0		NSA.3.3-685
NSA.3.4-691	91	25	Chad	CHA	MDD [-FANT]	1997-01-01	1997-12-31	1910	1910	1910-10	0	no	NA	750	500	1000	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	extensive	Nigeria; Niger; Libya	alleged	military	Libya	explicit	military	France	no	1	NA	1	NSA.3.4-688	NSA.3.3-688
NSA.3.4-694	91	26	Chad	CHA	FARF	1997-11-30	1998-05-07	1910	1910	1910-13	0	explicit link	no	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	some	Cameroon; Cent. African Rep.	no	NA		explicit	military	France	no	1	NA	1	NSA.3.4-676	NSA.3.3-691
NSA.3.4-697	91	27	Chad	CHA	MDJT	1999-12-31	2002-12-31	1910	1910	1910-14	0	no	NA	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	some	Libya 	explicit	non-military	Libya	explicit	military	France	no	5	NA	0		NSA.3.3-694
NSA.3.4-700	91	455	Chad	CHA	FUCD	2005-01-01	2006-12-31	NA	NA	NA	0	no	NA	3500	3000	4000	weaker	yes	moderate	low	moderate	moderate	no	NA	NA	civil war	no	no	some	Sudan	explicit	military	Sudan	explicit	military	France	no	1	NA	0		NSA.3.3-697
NSA.3.4-703	91	633	Chad	CHA	RAFD	2006-06-04	2006-12-31	NA	NA	NA	0	no	NA	1000	1000	1000	weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	some	Sudan	explicit	military	Sudan	explicit	military	France	no	1	NA	0		NSA.3.3-700
NSA.3.4-706	91	634	Chad	CHA	UFDD	2006-01-01	2007-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	weaker	yes	low	low	moderate	moderate	no	NA	NA	civil war	no	no	some	Sudan	explicit	military	Sudan	explicit	military	France	no	6.1	NA	0		NSA.3.3-703
NSA.3.4-709	91	656	Chad	CHA	FROLINAT	1966-07-01	1970-12-31	1910	1910	1910-1	0	explicit link	yes	NA	NA	NA	weaker	yes	low	moderate	moderate	low	NA	unclear	NA	civil war	no	no	some	Sudan	no	NA		explicit	military	France	no	6.1	NA	0		NSA.3.3-706
NSA.3.4-712	91	658	Chad	CHA	First Liberation Army	1971-01-01	1972-12-31	NA	NA	NA	0	no	NA	2000	2000	2000	weaker	yes	moderate	low	moderate	moderate	yes	Parts of northeastern Chad	moderate	civil war	no	no	no	NA	explicit	military	Libya	explicit	military	France	no	5	NA	1	NSA.3.4-709	NSA.3.3-709
NSA.3.4-715	91	659	Chad	CHA	Second Liberation Army (Frolinat)	1971-06-18	1971-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	weaker	yes	moderate	low	moderate	moderate	yes	Parts of northern Chad including Tibesti	moderate	civil war	no	no	no	NA	explicit	military	Libya	explicit	military	France	no	5	NA	1	NSA.3.4-709	NSA.3.3-712
NSA.3.4-718	91	660	Chad	CHA	FAN	1976-02-28	1982-06-30	1910	1910	1910-3	0	NA	NA	NA	NA	NA	parity	yes	moderate	moderate	moderate	moderate	yes	Parts of Eastern Chad	NA	civil war	no	no	extensive	Libya; Sudan	explicit	military	Libya; Sudan	no	NA		no	4	2	1	NSA.3.4-709,NSA.3.4-715	NSA.3.3-715
NSA.3.4-721	91	661	Chad	CHA	FAP	1977-06-21	1979-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	weaker	yes	moderate	low	moderate	moderate	yes	Parts of Chad including parts of N'djamena	moderate	civil war	no	no	no	NA	explicit	military	Libya	explicit	military	France	no	1	NA	1	NSA.3.4-709,NSA.3.4-715	NSA.3.3-718
NSA.3.4-724	91	662	Chad	CHA	FAT	1982-01-01	1982-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	weaker	yes	moderate	moderate	moderate	moderate	no	NA	NA	civil war	no	no	no	NA	no	NA	NA	explicit	military	France	no	5	NA	0		NSA.3.3-721
NSA.3.4-727	91	663	Chad	CHA	GUNT	1983-02-24	1986-12-31	NA	NA	NA	0	explicit link	no	4000	1500	4000	parity	yes	low	moderate	moderate	moderate	yes	parts of northern Chad	low	civil war	no	no	no	NA	explicit	troops	Libya	explicit	military	France, United States, Egypt, Sudan	no	5	NA	0		NSA.3.3-724
NSA.3.4-730	91	664	Chad	CHA	CDR	1987-01-01	1987-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	weaker	yes	moderate	low	moderate	moderate	NA	NA	NA	civil war	no	no	no	NA	explicit	troops	Libya	explicit	troops	France, Zaire	no	5	NA	1	NSA.3.4-709,NSA.3.4-727	NSA.3.3-727
